Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,16.915501,16.955999,16.435200,16.880800,13.198721,4901645
2013-09-24,16.915501,16.955999,16.435200,16.550900,12.940778,6882624
2013-09-25,16.542200,16.707199,16.261600,16.666700,13.031322,3309120
2013-09-26,16.663799,17.071800,16.545099,17.002300,13.293719,5873126
2013-09-27,16.967600,17.659100,16.880800,17.612900,13.771131,11459405
2013-09-30,16.967600,17.659100,16.880800,17.343800,13.560731,6697728
2013-10-01,17.679399,17.708300,17.280100,17.638901,13.791461,4396032
2013-10-02,17.607100,17.792200,17.508699,17.792200,13.911323,3167770
2013-10-03,17.705400,17.989000,17.650499,17.939800,14.026728,4756493
2013-10-04,17.939800,18.171301,17.841400,18.171301,14.207733,5157734
2013-10-07,18.156799,18.570601,18.064199,18.460600,14.433928,7092749
2013-10-08,18.460600,18.460600,17.942699,18.156799,14.196396,7667136
2013-10-09,18.150999,18.336201,17.939800,18.229200,14.253004,5098291
2013-10-10,18.371000,18.371000,17.942699,18.171301,14.207733,5952614
2013-10-11,18.185801,18.807899,18.156799,18.735500,14.648870,8578483
2013-10-14,18.750000,19.111700,18.614000,18.981501,14.841211,4242931
2013-10-15,18.981501,19.088499,18.955400,19.065399,14.906809,13651891
2013-10-16,19.079901,19.522600,19.001699,19.140600,14.965607,11963635
2013-10-17,18.993099,19.311300,18.987301,19.221600,15.028939,6095002
2013-10-18,19.244801,19.438700,19.039400,19.056700,14.900006,12485146
2013-10-21,19.039400,19.184000,18.920700,19.039400,14.886482,4898189
2013-10-22,19.042200,19.100100,18.781799,18.865700,14.750670,6422630
2013-10-23,18.880199,19.097200,18.865700,19.053801,14.897742,5341939
2013-10-24,19.042200,19.224501,18.663200,18.880199,14.762003,3310502
2013-10-25,18.981501,19.328699,18.891800,19.265100,15.062951,3720730
2013-10-28,19.247700,19.357599,19.030701,19.140600,14.965607,3673037
2013-10-29,19.146400,19.383699,18.955400,19.305599,15.094616,4807296
2013-10-30,19.314199,19.386600,19.172400,19.259300,15.058417,4284749
2013-10-31,19.262100,19.777201,19.233200,19.733801,15.429416,6651418
2013-11-01,19.965300,19.965300,19.435801,19.618099,15.338953,5497114
2013-11-04,19.670099,19.942101,19.542801,19.878500,15.542552,3736973
2013-11-05,19.675900,19.756901,19.256399,19.314199,15.101341,7448371
2013-11-06,19.273701,19.363400,18.807899,19.074100,14.913613,6521818
